行業別,經常性薪資,專業人員-經常性薪資,技術員及助理專業人員-經常性薪資,事務支援人員-經常性薪資,服務及銷售工作人員-經常性薪資,技藝_機械設備操作及組裝人員-經常性薪資,基層技術工及勞力工-經常性薪資
工業及服務業部門,27055,34003,28646,26068,25012,25338,22824
工業部門,26860,33788,28103,25906,25811,24919,22784
礦業及土石採取業,26170,35768,27744,23441,23625,26988,22440
石油及天然氣礦業,27696,37125,25313,23625,23625,23625,0
砂_石及黏土採取業,25661,30000,29185,23405,0,27629,22440
製造業,26782,33753,27905,25966,25708,24695,22655
食品製造業,25495,30973,27464,25380,24628,23998,22426
飲料及菸草製造業,28703,34743,29833,28300,26624,28440,24125
紡織業,25877,32138,27437,25366,24569,24690,22483
成衣及服飾品製造業,26414,31276,28730,26179,25263,24528,22447
皮革_毛皮及其製品製造業,25891,33329,27514,26046,26000,23558,21736
木竹製品製造業,25863,35846,29682,24656,0,24513,22966
紙漿_紙及紙製品製造業,26677,32731,28354,26280,26762,26106,23346
印刷及資料儲存媒體複製業,25260,30937,27429,24426,26346,24270,21889
石油及煤製品製造業,32514,40863,33958,30891,30481,31034,23821
化學材料製造業,29917,37466,30387,28828,27471,27610,24376
化學製品製造業,27241,33828,28493,26054,28035,24085,21955
藥品及醫用化學製品製造業,28087,33944,29015,27837,24342,25681,22824
橡膠製品製造業,25979,30926,26878,25063,26774,25023,23502
塑膠製品製造業,26245,32556,27549,25461,27183,24681,22401
非金屬礦物製品製造業,27201,33070,29176,26154,25905,26093,23990
基本金屬製造業,26088,31341,26699,24916,25819,25375,22453
金屬製品製造業,25468,31814,26898,24845,25572,24038,22544
電子零組件製造業,27722,35928,28187,26673,25743,24647,22417
電腦_電子產品及光學製品製造業,28024,34888,28560,26822,26256,24362,22645
電力設備製造業,26415,33459,27396,25454,23713,23965,22423
機械設備製造業,26700,32608,27836,25767,25943,25134,22513
汽車及其零件製造業,26020,31248,27133,25660,25133,24628,22988
其他運輸工具及其零件製造業,26615,32399,27712,26124,25541,24638,23099
家具製造業,24266,29833,27137,24347,21562,23597,21080
其他製造業,26230,33063,27243,25828,25571,23765,22524
產業用機械設備維修及安裝業,27940,35647,29582,27156,28300,26943,24560
電力及燃氣供應業,28685,34556,29626,27375,26803,27715,24694
電力供應業,31108,33094,31136,30208,26000,29956,0
氣體燃料供應業,28031,35564,28937,26757,26836,27366,24694
用水供應及污染整治業,27459,34692,31505,26058,29637,27049,23157
用水供應業,31257,38921,34756,30947,29637,27485,27328
廢（污）水處理業,26825,30708,28291,25000,0,0,21342
廢棄物清除業,24757,31000,29038,23405,0,27801,22854
廢棄物處理業,27443,34418,29578,24542,0,27429,23152
污染整治業,25654,33696,30273,24809,0,25921,21867
營造業,27486,33780,29470,25195,27308,26807,24328
建築工程業,30033,35241,30400,27296,0,29216,26557
土木工程業,29699,35571,31518,26694,27308,29337,25079
機電_管道及其他建築設備安裝業,25999,31818,28011,24352,0,25214,22705
其他專門營造業,26187,30618,28683,24156,0,27154,24018
服務業部門,27363,34353,29608,26297,24608,26895,22892
批發及零售業,26457,33609,28250,25776,24146,25833,23463
批發業,27340,34938,28679,25997,25069,26174,23291
零售業,25042,31117,26284,25028,23701,25039,23752
綜合商品零售業,25634,30717,28592,26379,23642,25947,23571
運輸及倉儲業,28328,35855,31272,26834,26605,29251,24585
鐵路大眾捷運系統運輸業,32453,37739,32600,31024,30739,32580,0
公共汽車客運業,26514,31141,28458,25653,23806,29229,22878
其他汽車客運業,24067,0,0,23412,0,25522,21009
汽車貨運業,26525,33611,31135,24415,24878,28940,25085
海洋水運業,32659,40000,33788,32193,30824,29923,25667
航空運輸業,33505,35782,35228,33267,31447,34327,27760
港埠業,35049,41807,37845,30184,0,30480,0
其他運輸輔助業,29273,38348,30867,27698,28025,30048,26198
倉儲業,26359,33417,29111,25721,24112,25292,24014
郵政業,36332,43055,40078,37578,33406,35752,28223
快遞服務業,27705,31250,29767,26416,27433,27433,26400
住宿及餐飲業,25068,30190,27807,25226,24468,25344,23032
住宿服務業,25074,29669,27099,24915,24172,25077,22995
餐館業,25294,29000,28590,25956,25056,28583,23598
其他餐飲業,24702,31496,29509,25074,23516,24709,22219
資訊及通訊傳播業,28918,33646,29176,26723,25734,26330,21857
出版業,28375,32938,29783,26199,24912,25000,21861
影片服務_聲音錄製及音樂出版業,26896,30391,28327,26342,25625,0,21385
傳播及節目播送業,26578,29071,27647,25519,24646,27622,23000
電信業,30596,35181,31774,28114,27661,25000,0
電腦系統設計服務業,30402,35278,28868,27593,28371,28000,21009
資料處理及資訊供應服務業,28573,33472,27929,25673,26333,0,21390
金融及保險業,31690,35976,32118,30499,26680,28139,24377
銀行業,34471,39089,35461,33373,27872,30819,24092
信用合作社業,28222,31785,30500,26605,0,28529,25200
農會_漁會信用部,29044,31505,29259,28413,27555,0,0
其他金融中介業,33784,37983,34545,31435,0,30083,23300
人身保險業,30873,35980,31883,29307,26176,27950,0
財產保險業,28908,31693,29623,28140,25547,26210,0
其他保險及退休基金輔助業,42796,44595,43586,43586,26120,0,0
證券期貨及其他金融業,29404,33567,28858,28224,25571,26286,0
不動產業,27761,34237,28713,26155,25069,24406,22252
不動產開發業,28361,34592,29729,26495,27300,26000,22667
不動產經營及相關服務業,27098,33946,27643,25713,22837,23010,21009
專業_科學及技術服務業,29345,35538,29309,26712,25697,26819,22940
法律服務業,34607,43000,31038,27310,0,0,0
會計服務業,30270,34600,30481,27455,0,0,0
企業總管理機構及管理顧問業,29483,35470,30410,27616,25033,28061,24537
