路線方向,路段,交流道,進出口,週六,週日,週2-4
國1南向路段,基隆端-基隆,非匝道資料,非匝道資料,32728,32944,29156
國1南向路段,基隆-八堵,非匝道資料,非匝道資料,31147,32092,28092
國1南向路段,八堵-大華系統,非匝道資料,非匝道資料,40154,43132,36119
國1南向路段,大華系統-五堵,非匝道資料,非匝道資料,64080,68319,57658
國1南向路段,五堵-汐止及系統,非匝道資料,非匝道資料,66694,69367,60025
國1南向路段,汐止及系統-東湖,非匝道資料,非匝道資料,49323,49282,48817
國1南向路段,東湖-內湖,非匝道資料,非匝道資料,68302,66298,67732
國1南向路段,內湖-圓山,非匝道資料,非匝道資料,54925,52957,58450
國1南向路段,圓山-台北,非匝道資料,非匝道資料,105679,99698,110527
國1南向路段,台北-三重,非匝道資料,非匝道資料,90812,85299,93512
國1南向路段,三重-五股,非匝道資料,非匝道資料,83945,79170,83689
國1南向路段,五股-高公局,非匝道資料,非匝道資料,138231,134510,139378
國1南向路段,高公局-林口(文化一路),非匝道資料,非匝道資料,99452,96191,107205
國1南向路段,林口(文化一路)-林口(文化北路),非匝道資料,非匝道資料,58763,57456,56767
國1南向路段,林口(文化北路)-桃園,非匝道資料,非匝道資料,94619,87776,99112
國1南向路段,桃園-機場系統,非匝道資料,非匝道資料,91404,84035,93090
國1南向路段,機場系統-內壢交流道,非匝道資料,非匝道資料,80613,74796,82715
國1南向路段,內壢-中壢,非匝道資料,非匝道資料,73521,66826,73599
國1南向路段,中壢-平鎮系統,非匝道資料,非匝道資料,74358,69425,72259
國1南向路段,平鎮系統-幼獅,非匝道資料,非匝道資料,65019,62581,65277
國1南向路段,幼獅-楊梅,非匝道資料,非匝道資料,62432,59827,60463
國1南向路段,楊梅-湖口,非匝道資料,非匝道資料,86222,80938,69275
國1南向路段,湖口-竹北,非匝道資料,非匝道資料,90566,84712,76837
國1南向路段,竹北-新竹(公道五路),非匝道資料,非匝道資料,92416,83737,80925
國1南向路段,新竹(公道五路)-新竹(園區二路),非匝道資料,非匝道資料,66468,56845,44651
國1南向路段,新竹(園區二路)-新竹系統,非匝道資料,非匝道資料,91420,76838,69322
國1南向路段,新竹系統-頭份,非匝道資料,非匝道資料,77078,66014,49491
國1南向路段,頭份-頭屋,非匝道資料,非匝道資料,68962,58869,40272
國1南向路段,頭屋-苗栗,非匝道資料,非匝道資料,63812,54480,35951
國1南向路段,苗栗-銅鑼,非匝道資料,非匝道資料,64532,57088,38121
國1南向路段,銅鑼-三義,非匝道資料,非匝道資料,65046,58123,38891
國1南向路段,三義-后里,非匝道資料,非匝道資料,64077,58282,38299
國1南向路段,后里-台中系統,非匝道資料,非匝道資料,71385,64751,46345
國1南向路段,台中系統-豐原,非匝道資料,非匝道資料,93679,86361,71437
國1南向路段,豐原-大雅,非匝道資料,非匝道資料,93811,85346,73916
國1南向路段,大雅-台中,非匝道資料,非匝道資料,76840,67665,63071
國1南向路段,台中-南屯,非匝道資料,非匝道資料,69965,61586,54465
國1南向路段,南屯-王田,非匝道資料,非匝道資料,67901,59217,51674
國1南向路段,王田-彰化系統,非匝道資料,非匝道資料,66211,58730,48166
國1南向路段,彰化系統-彰化,非匝道資料,非匝道資料,94632,83439,69925
國1南向路段,彰化-埔鹽系統,非匝道資料,非匝道資料,87369,76650,62793
國1南向路段,埔鹽系統-員林,非匝道資料,非匝道資料,81516,73470,58236
國1南向路段,員林-北斗,非匝道資料,非匝道資料,73627,64924,49114
國1南向路段,北斗-西螺,非匝道資料,非匝道資料,67587,58961,42354
國1南向路段,西螺-虎尾,非匝道資料,非匝道資料,67268,59400,42766
國1南向路段,虎尾-斗南,非匝道資料,非匝道資料,65619,58286,41528
國1南向路段,斗南-雲林系統,非匝道資料,非匝道資料,64747,58024,42423
國1南向路段,雲林系統-大林,非匝道資料,非匝道資料,60211,54110,40676
國1南向路段,大林-民雄,非匝道資料,非匝道資料,60385,54215,41975
國1南向路段,民雄-嘉義,非匝道資料,非匝道資料,56779,51606,39349
國1南向路段,嘉義-水上,非匝道資料,非匝道資料,53670,50176,37118
國1南向路段,水上-嘉義系統,非匝道資料,非匝道資料,52231,49026,35878
國1南向路段,嘉義系統-新營,非匝道資料,非匝道資料,51581,49812,35954
國1南向路段,新營-下營系統,非匝道資料,非匝道資料,57118,56282,42619
國1南向路段,下營系統-麻豆,非匝道資料,非匝道資料,61486,61984,46546
國1南向路段,麻豆-安定,非匝道資料,非匝道資料,63271,63613,49324
國1南向路段,安定-台南系統,非匝道資料,非匝道資料,63041,62875,49250
國1南向路段,台南系統-永康,非匝道資料,非匝道資料,76166,76514,64671
國1南向路段,永康-大灣,非匝道資料,非匝道資料,75056,73030,67952
國1南向路段,大灣-台南,非匝道資料,非匝道資料,61886,60351,55713
國1南向路段,台南-仁德系統,非匝道資料,非匝道資料,71615,70163,62353
國1南向路段,仁德系統-路竹,非匝道資料,非匝道資料,72784,71286,63034
國1南向路段,路竹-高科,非匝道資料,非匝道資料,72790,71269,64145
國1南向路段,高科-岡山,非匝道資料,非匝道資料,72744,70775,63709
國1南向路段,岡山-楠梓(旗楠路),非匝道資料,非匝道資料,82125,79042,74999
國1南向路段,楠梓(旗楠路)-楠梓(鳳楠路),非匝道資料,非匝道資料,67112,64971,58707
國1南向路段,楠梓(鳳楠路)-鼎金系統,非匝道資料,非匝道資料,91130,85592,84581
國1南向路段,鼎金系統-高雄,非匝道資料,非匝道資料,119017,113734,112575
國1南向路段,高雄交流道-瑞隆路出口匝道,非匝道資料,非匝道資料,79069,76907,80438
國1南向路段,瑞隆路出口匝道-五甲系統,非匝道資料,非匝道資料,63816,62230,67135
國1南向路段,五甲系統-五甲交流道,非匝道資料,非匝道資料,28661,26578,33001
國1南向路段,五甲交流道-高雄端,非匝道資料,非匝道資料,36960,28450,41742
國3南向路段,基金-瑪東系統,非匝道資料,非匝道資料,20256,21880,21449
國3南向路段,瑪東系統-汐止系統,非匝道資料,非匝道資料,18887,23324,19985
國3南向路段,汐止系統-新台五路,非匝道資料,非匝道資料,42733,42920,42201
國3南向路段,新台五路-南港,非匝道資料,非匝道資料,49264,48715,47221
國3南向路段,南港-南港系統,非匝道資料,非匝道資料,62763,59655,62530
國3南向路段,南港系統-木柵,非匝道資料,非匝道資料,56138,60059,59007
國3南向路段,木柵-新店,非匝道資料,非匝道資料,53092,56148,54009
國3南向路段,新店-安坑,非匝道資料,非匝道資料,53978,56428,54325
國3南向路段,安坑-中和,非匝道資料,非匝道資料,73432,74437,72873
國3南向路段,中和-土城,非匝道資料,非匝道資料,88159,86778,82416
國3南向路段,土城-樹林,非匝道資料,非匝道資料,108844,106895,97216
國3南向路段,樹林-三鶯,非匝道資料,非匝道資料,97105,95095,84807
國3南向路段,三鶯-鶯歌系統,非匝道資料,非匝道資料,101518,99180,88060
國3南向路段,鶯歌系統-大溪,非匝道資料,非匝道資料,88339,83565,68664
國3南向路段,大溪-龍潭,非匝道資料,非匝道資料,74990,67888,50551
國3南向路段,龍潭-關西,非匝道資料,非匝道資料,66396,58614,39345
國3南向路段,關西-竹林,非匝道資料,非匝道資料,64603,57385,39554
國3南向路段,竹林-寶山,非匝道資料,非匝道資料,57002,49112,34816
國3南向路段,寶山-新竹系統,非匝道資料,非匝道資料,58076,49577,36210
國3南向路段,新竹系統-茄苳,非匝道資料,非匝道資料,69974,58140,51048
國3南向路段,茄苳-香山,非匝道資料,非匝道資料,67134,53689,45089
國3南向路段,香山-西濱,非匝道資料,非匝道資料,63349,49894,36696
國3南向路段,西濱-竹南,非匝道資料,非匝道資料,56956,44251,29870
國3南向路段,竹南-大山,非匝道資料,非匝道資料,57867,44917,29756
國3南向路段,大山-後龍,非匝道資料,非匝道資料,57352,44128,28995
國3南向路段,後龍-通霄,非匝道資料,非匝道資料,56327,43801,28761
國3南向路段,通霄-苑裡,非匝道資料,非匝道資料,55583,44165,28460
國3南向路段,苑裡-大甲,非匝道資料,非匝道資料,59840,48777,34006
國3南向路段,大甲-中港系統,非匝道資料,非匝道資料,67402,56795,41688
國3南向路段,中港系統-沙鹿,非匝道資料,非匝道資料,57013,47560,33171
國3南向路段,沙鹿-龍井,非匝道資料,非匝道資料,56744,47292,32835
國3南向路段,龍井-和美,非匝道資料,非匝道資料,57590,47114,34418
國3南向路段,和美-彰化系統,非匝道資料,非匝道資料,61893,52175,41987
國3南向路段,彰化系統-快官,非匝道資料,非匝道資料,48904,42682,34741
國3南向路段,快官-烏日,非匝道資料,非匝道資料,59964,53070,44877
國3南向路段,烏日-中投,非匝道資料,非匝道資料,61705,54429,45189
國3南向路段,中投-霧峰,非匝道資料,非匝道資料,65030,57544,45551
國3南向路段,霧峰-霧峰系統,非匝道資料,非匝道資料,90201,80618,59308
國3南向路段,霧峰系統-草屯,非匝道資料,非匝道資料,74890,69578,51104
國3南向路段,草屯-中興系統,非匝道資料,非匝道資料,71356,66328,47157
國3南向路段,中興系統-中興,非匝道資料,非匝道資料,63321,58805,40793
國3南向路段,中興-南投,非匝道資料,非匝道資料,59305,55050,35072
國3南向路段,南投-名間,非匝道資料,非匝道資料,52351,48547,27718
國3南向路段,名間-竹山,非匝道資料,非匝道資料,43624,40079,21494
國3南向路段,竹山-南雲,非匝道資料,非匝道資料,36411,34000,16745
國3南向路段,南雲-斗六,非匝道資料,非匝道資料,36309,34422,16873
國3南向路段,斗六-古坑系統,非匝道資料,非匝道資料,35086,33984,16856
國3南向路段,古坑系統-古坑,非匝道資料,非匝道資料,31440,30413,14253
國3南向路段,古坑-梅山,非匝道資料,非匝道資料,32307,31544,14923
國3南向路段,梅山-竹崎(北),非匝道資料,非匝道資料,35048,34631,17559
國3南向路段,竹崎(北)-竹崎(南),非匝道資料,非匝道資料,27439,27002,12150
國3南向路段,竹崎(南)-中埔,非匝道資料,非匝道資料,33397,33425,17449
國3南向路段,中埔-水上系統,非匝道資料,非匝道資料,33675,35762,17881
國3南向路段,水上系統-白河,非匝道資料,非匝道資料,28879,30906,13880
國3南向路段,白河-柳營,非匝道資料,非匝道資料,29039,32274,14177
國3南向路段,柳營-烏山頭,非匝道資料,非匝道資料,31023,34870,16154
國3南向路段,烏山頭-官田系統,非匝道資料,非匝道資料,33100,37364,18159
國3南向路段,官田系統-善化,非匝道資料,非匝道資料,35652,40480,20898
國3南向路段,善化-新化系統,非匝道資料,非匝道資料,35519,39614,20640
國3南向路段,新化系統-關廟,非匝道資料,非匝道資料,34084,34935,21335
國3南向路段,關廟-田寮,非匝道資料,非匝道資料,34504,34612,19170
國3南向路段,田寮-燕巢系統,非匝道資料,非匝道資料,34626,34709,19963
國3南向路段,燕巢系統-九如,非匝道資料,非匝道資料,32788,30058,21043
國3南向路段,九如-長治,非匝道資料,非匝道資料,22926,20708,13400
國3南向路段,長治-麟洛,非匝道資料,非匝道資料,21002,18524,12703
國3南向路段,麟洛-竹田系統,非匝道資料,非匝道資料,23098,20823,15139
國3南向路段,竹田系統-崁頂,非匝道資料,非匝道資料,30607,27791,18549
國3南向路段,崁頂-南州,非匝道資料,非匝道資料,26450,24083,15256
國3南向路段,南州-大鵬灣端,非匝道資料,非匝道資料,8962,8471,4842
國5南向路段,南港系統-石碇,非匝道資料,非匝道資料,38298,32743,25093
國5南向路段,石碇-坪林,非匝道資料,非匝道資料,41476,34169,25914
國5南向路段,坪林-頭城,非匝道資料,非匝道資料,39985,32078,24501
國5南向路段,頭城-宜蘭,非匝道資料,非匝道資料,34113,25619,21613
國5南向路段,宜蘭-羅東,非匝道資料,非匝道資料,26717,20819,17540
國5南向路段,羅東-蘇澳,非匝道資料,非匝道資料,12748,9987,8376
國1高架南向路段,汐止端-堤頂,非匝道資料,非匝道資料,31231,34664,30746
國1高架南向路段,堤頂-環北,非匝道資料,非匝道資料,42888,44402,44796
國1高架南向路段,環北-五股,非匝道資料,非匝道資料,67239,68292,67851
國1高架南向路段,五股-泰山轉接道,非匝道資料,非匝道資料,23264,23452,19477
國1高架南向路段,泰山轉接道-機場系統,非匝道資料,非匝道資料,62108,61592,51789
國1高架南向路段,機場系統-中壢轉接道,非匝道資料,非匝道資料,49106,47832,38227
國1高架南向路段,中壢轉接道-楊梅端,非匝道資料,非匝道資料,44207,41581,33149
國3甲東向路段,台北端-萬芳,非匝道資料,非匝道資料,24587,22525,23883
國3甲東向路段,萬芳-深坑端,非匝道資料,非匝道資料,34711,32110,34231
國2東向路段,機場端-大園交流道,非匝道資料,非匝道資料,43565,43798,41907
國2東向路段,大園交流道-大竹交流道,非匝道資料,非匝道資料,62149,60544,62622
國2東向路段,大竹交流道-機場系統,非匝道資料,非匝道資料,72834,69401,79339
國2東向路段,機場系統-南桃園交流道,非匝道資料,非匝道資料,67315,63451,73956
